2012-10-18 12:37:02,0,0,00:00:00,00:00:00
2012-10-18 12:38:01,0,0,00:00:00,00:00:00
2012-10-18 12:39:01,0,0,00:00:00,00:00:00
2012-10-18 12:40:01,0,0,00:00:00,00:00:00
2012-10-18 12:41:01,0,0,00:00:00,00:00:00
2012-10-18 12:42:01,0,0,00:00:00,00:00:00
2012-10-18 12:43:01,0,0,00:00:00,00:00:00
2012-10-18 12:44:01,0,0,00:00:00,00:00:00
2012-10-18 12:45:01,0,0,00:00:00,00:00:00
2012-10-18 12:46:01,0,0,00:00:00,00:00:00
2012-10-18 12:47:01,0,0,00:00:00,00:00:00
2012-10-18 12:48:02,0,0,00:00:00,00:00:00
2012-10-18 12:49:01,0,0,00:00:00,00:00:00
2012-10-18 12:50:01,0,0,00:00:00,00:00:00
2012-10-18 12:51:01,0,0,00:00:00,00:00:00
2012-10-18 12:52:01,0,0,00:00:00,00:00:00
2012-10-18 12:53:01,0,0,00:00:00,00:00:00
2012-10-18 12:54:01,0,0,00:00:00,00:00:00
2012-10-18 12:55:01,0,0,00:00:00,00:00:00
2012-10-18 12:56:01,0,0,00:00:00,00:00:00
2012-10-18 12:57:01,0,0,00:00:00,00:00:00
2012-10-18 12:58:01,0,0,00:00:00,00:00:00
2012-10-18 12:59:02,0,0,00:00:00,00:00:00
2012-10-18 13:00:01,0,0,00:00:00,00:00:00
2012-10-18 13:01:01,0,0,00:00:00,00:00:00
2012-10-18 13:02:01,0,0,00:00:00,00:00:00
2012-10-18 13:03:01,0,0,00:00:00,00:00:00
2012-10-18 13:04:01,0,0,00:00:00,00:00:00
2012-10-18 13:05:01,0,0,00:00:00,00:00:00
2012-10-18 13:06:01,0,0,00:00:00,00:00:00
2012-10-18 13:07:01,0,0,00:00:00,00:00:00
2012-10-18 13:08:01,0,0,00:00:00,00:00:00
2012-10-18 13:09:01,0,0,00:00:00,00:00:00
2012-10-18 13:10:02,0,0,00:00:00,00:00:00
2012-10-18 13:11:01,0,0,00:00:00,00:00:00
2012-10-18 13:12:01,0,0,00:00:00,00:00:00
2012-10-18 13:13:01,0,0,00:00:00,00:00:00
2012-10-18 13:14:01,0,0,00:00:00,00:00:00
2012-10-18 13:15:01,0,0,00:00:00,00:00:00
2012-10-18 13:16:01,0,0,00:00:00,00:00:00
2012-10-18 13:17:01,0,0,00:00:00,00:00:00
2012-10-18 13:18:01,0,0,00:00:00,00:00:00
2012-10-18 13:19:01,0,0,00:00:00,00:00:00
2012-10-18 13:20:01,0,0,00:00:00,00:00:00
2012-10-18 13:21:01,0,0,00:00:00,00:00:00
2012-10-18 13:22:01,0,0,00:00:00,00:00:00
2012-10-18 13:23:01,0,0,00:00:00,00:00:00
2012-10-18 13:24:01,0,0,00:00:00,00:00:00
2012-10-18 13:25:01,0,0,00:00:00,00:00:00
2012-10-18 13:26:01,0,0,00:00:00,00:00:00
2012-10-18 13:27:01,0,0,00:00:00,00:00:00
2012-10-18 13:28:01,0,0,00:00:00,00:00:00
2012-10-18 13:29:01,0,0,00:00:00,00:00:00
2012-10-18 13:30:01,0,0,00:00:00,00:00:00
2012-10-18 13:31:01,0,0,00:00:00,00:00:00
2012-10-18 13:32:01,0,0,00:00:00,00:00:00
2012-10-18 13:33:01,0,0,00:00:00,00:00:00
2012-10-18 13:34:01,0,0,00:00:00,00:00:00
2012-10-18 13:35:01,0,0,00:00:00,00:00:00
2012-10-18 13:36:01,0,0,00:00:00,00:00:00
2012-10-18 13:37:01,0,0,00:00:00,00:00:00
2012-10-18 13:38:01,0,0,00:00:00,00:00:00
2012-10-18 13:39:01,0,0,00:00:00,00:00:00
2012-10-18 13:40:01,0,0,00:00:00,00:00:00
2012-10-18 13:41:01,0,0,00:00:00,00:00:00
2012-10-18 13:42:01,0,0,00:00:00,00:00:00
2012-10-18 13:43:01,0,0,00:00:00,00:00:00
2012-10-18 13:44:02,0,0,00:00:00,00:00:00
2012-10-18 13:45:01,0,0,00:00:00,00:00:00
2012-10-18 13:46:01,0,0,00:00:00,00:00:00
2012-10-18 13:47:01,0,0,00:00:00,00:00:00
2012-10-18 13:48:01,0,0,00:00:00,00:00:00
2012-10-18 13:49:01,0,0,00:00:00,00:00:00
2012-10-18 13:50:01,0,0,00:00:00,00:00:00
2012-10-18 13:51:01,0,0,00:00:00,00:00:00
2012-10-18 13:52:01,0,0,00:00:00,00:00:00
2012-10-18 13:53:01,0,0,00:00:00,00:00:00
2012-10-18 13:54:01,0,0,00:00:00,00:00:00
2012-10-18 13:55:01,0,0,00:00:00,00:00:01
2012-10-18 13:56:01,0,0,00:00:00,00:00:00
2012-10-18 13:57:01,0,0,00:00:00,00:00:00
2012-10-18 13:58:01,0,0,00:00:00,00:00:00
2012-10-18 13:59:01,0,0,00:00:00,00:00:00
2012-10-18 14:00:01,0,0,00:00:00,00:00:00
2012-10-18 14:01:01,0,0,00:00:00,00:00:00
2012-10-18 14:02:01,0,0,00:00:00,00:00:00
2012-10-18 14:03:01,0,0,00:00:00,00:00:00
2012-10-18 14:04:01,0,0,00:00:00,00:00:00
2012-10-18 14:05:01,0,0,00:00:00,00:00:00
2012-10-18 14:06:01,0,0,00:00:00,00:00:01
2012-10-18 14:07:01,0,0,00:00:00,00:00:00
2012-10-18 14:08:01,0,0,00:00:00,00:00:00
2012-10-18 14:09:01,0,0,00:00:00,00:00:00
2012-10-18 14:10:01,0,0,00:00:00,00:00:00
2012-10-18 14:11:01,0,0,00:00:00,00:00:00
2012-10-18 14:12:01,0,0,00:00:00,00:00:00
2012-10-18 14:13:01,0,0,00:00:00,00:00:00
2012-10-18 14:14:01,0,0,00:00:00,00:00:00
2012-10-18 14:15:01,0,0,00:00:00,00:00:00
2012-10-18 14:16:01,0,0,00:00:00,00:00:00
2012-10-18 14:17:01,0,0,00:00:00,00:00:00
2012-10-18 14:18:02,0,0,00:00:00,00:00:00
2012-10-18 14:19:01,0,0,00:00:00,00:00:00
2012-10-18 14:20:01,0,0,00:00:00,00:00:00
2012-10-18 14:21:01,0,0,00:00:00,00:00:00
2012-10-18 14:22:01,0,0,00:00:00,00:00:00
2012-10-18 14:23:01,0,0,00:00:00,00:00:00
2012-10-18 14:24:01,0,0,00:00:00,00:00:00
2012-10-18 14:25:01,0,0,00:00:00,00:00:00
2012-10-18 14:26:01,0,0,00:00:00,00:00:00
2012-10-18 14:27:01,0,0,00:00:00,00:00:00
2012-10-18 14:28:01,0,0,00:00:00,00:00:00
2012-10-18 14:29:02,0,0,00:00:00,00:00:00
2012-10-18 14:30:01,0,0,00:00:00,00:00:00
2012-10-18 14:31:01,0,0,00:00:00,00:00:00
2012-10-18 14:32:01,0,0,00:00:00,00:00:00
2012-10-18 14:33:01,0,0,00:00:00,00:00:00
2012-10-18 14:34:01,0,0,00:00:00,00:00:00
2012-10-18 14:35:01,0,0,00:00:00,00:00:00
2012-10-18 14:36:01,0,0,00:00:00,00:00:00
2012-10-18 14:37:01,0,0,00:00:00,00:00:00
2012-10-18 14:38:01,0,0,00:00:00,00:00:00
2012-10-18 14:39:01,0,0,00:00:00,00:00:00
2012-10-18 14:40:02,0,0,00:00:00,00:00:00
2012-10-18 14:41:01,0,0,00:00:00,00:00:00
2012-10-18 14:42:01,0,0,00:00:00,00:00:00
2012-10-18 14:43:01,0,0,00:00:00,00:00:00
2012-10-18 14:44:01,0,0,00:00:00,00:00:00
2012-10-18 14:45:01,0,0,00:00:00,00:00:00
2012-10-18 14:46:01,0,0,00:00:00,00:00:00
2012-10-18 14:47:01,0,0,00:00:00,00:00:00
2012-10-18 14:48:01,0,0,00:00:00,00:00:00
2012-10-18 14:49:01,0,0,00:00:00,00:00:00
2012-10-18 14:50:01,0,0,00:00:00,00:00:00
2012-10-18 14:51:01,0,0,00:00:00,00:00:01
2012-10-18 14:52:01,0,0,00:00:00,00:00:00
2012-10-18 14:53:01,0,0,00:00:00,00:00:00
2012-10-18 14:54:01,0,0,00:00:00,00:00:00
2012-10-18 14:55:01,0,0,00:00:00,00:00:00
2012-10-18 14:56:01,0,0,00:00:00,00:00:00
2012-10-18 14:57:01,0,0,00:00:00,00:00:00
2012-10-18 14:58:01,0,0,00:00:00,00:00:00
2012-10-18 14:59:01,0,0,00:00:00,00:00:00
2012-10-18 15:00:01,0,0,00:00:00,00:00:00
2012-10-18 15:01:01,0,0,00:00:00,00:00:00
2012-10-18 15:02:01,0,0,00:00:00,00:00:00
2012-10-18 15:03:02,0,0,00:00:00,00:00:00
2012-10-18 15:04:01,0,0,00:00:00,00:00:00
